id,category,text,keyword_count,sentiment,risk_score,clean_text
1,storage_issue,pharmacies in giza reported issues with antidepressants. they cited humidity and contamination. ,0,0.0,1,pharmacies giza reported issues antidepressants cited humidity contamination
2,storage_issue,a weekly report from delta region connected antidepressants instability to power cut and storage.,1,-0.2732,6,weekly report delta region connected antidepressants instability power cut storage
3,import_delay,"In Giza, anticoagulants availability has dropped. Reports mention queue and complications from import.",2,0.0,10,giza anticoagulants availability dropped reports mention queue complications import
4,manufacturing_issue,"In coastal governorates, anticoagulants availability has dropped. Reports mention breakdown and complications from batch. Additional concerns include capacity.",1,0.0,5,coastal governorates anticoagulants availability dropped reports mention breakdown complications batch additional concerns include capacity
5,manufacturing_issue,Pharmacies in Giza reported issues with asthma inhalers. They cited raw material and line. ,0,0.0,1,pharmacies giza reported issues asthma inhalers cited raw material line
6,seasonal_variation,A weekly report from Upper Egypt connected IV fluids inst@bility to virus @nd se@son@l. Addition@l concerns include se@son@l.,0,0.0,1,weekly report upper egypt connected iv fluids inst bility virus nd se son l addition l concerns include se son l
7,forecasting_error,Pharmacies in coastal governorates reported issues with antidepressants. They cited assumption and scenario. Additional concerns include miscalculated. ,0,0.0,1,pharmacies coastal governorates reported issues antidepressants cited assumption scenario additional concerns include miscalculated
8,neutral_report,Pharmaci3s in Upp3r Egypt r3port3d stabl3 availability of canc3r m3dicin3s this w33k.??,1,0.0,5,pharmaci upp r egypt r port stabl availability canc r dicin w k
9,neutral_report,Supply levels for insulin in co@st@l governor@tes rem@ined norm@l.,1,0.0,5,supply levels insulin co st l governor tes rem ined norm l
10,labor_shortage,Pharmacies in Giza reported issues with antihistamines. They cited overtime and resignations. ,0,-0.296,1,pharmacies giza reported issues antihistamines cited overtime resignations
11,storage_issue,A weekly report from coastal governorates connected antiviral tablets instability to temperature and storage. Additional concerns include mold.,1,0.0,5,weekly report coastal governorates connected antiviral tablets instability temperature storage additional concerns include mold
12,quality_control_issue,A  w33kly  r3port  from  Canal  citi3s  conn3ct3d  antiviral  tabl3ts  instability  to  lab  and  complaint.,1,-0.296,6,w kly r port canal citi conn ct antiviral tabl ts instability lab complaint
13,neutral_report,ROUTINE UPDATES FROM COASTAL GOVERNORATES S ...HOWED NO MAJOR ISSUES FOR ANTIVIRAL TABLETS.,0,0.0,1,routine updates coastal governorates howed major issues antiviral tablets
14,regulation_issue,A weekly report from coastal governorates connected painkillers instability to regulation and license.,1,0.0,5,weekly report coastal governorates connected painkillers instability regulation license
15,demand_spike,Ph@rm@cies in new urb@n communities reported issues with @sthm@ inh@lers. They cited unusu@l @nd pe@k. Addition@l concerns include rush.,0,0.0,1,ph rm cies new urb n communities reported issues sthm inh lers cited unusu l nd pe k addition l concerns include rush
16,demand_spike,Ph@rm@cies in C@n@l cities reported issues with insulin. They cited rush @nd p@nic buying. Addition@l concerns include p@nic buying. ,0,0.0,1,ph rm cies c n l cities reported issues insulin cited rush nd p nic buying addition l concerns include p nic buying
17,seasonal_variation,Ph@rm@cies in Giz@ reported issues with  ...IV fluids. They cited winter @nd se@son.,0,0.0,1,ph rm cies giz reported issues iv fluids cited winter nd se son
18,regulation_issue,A weekly report from Upper Egypt connected insulin instability to new rules and approval.,1,0.4767,3,weekly report upper egypt connected insulin instability new rules approval
19,neutral_report,Routine  updates  from  new  urban  communities  showed  no  major  issues  for  cancer  medicines.,0,-0.6597,3,routine updates new urban communities showed major issues cancer medicines
20,currency_issue,Pharmacies in Alexandria reported issues with oral rehydration salts. They cited foreign and reserve.,0,0.0,1,pharmacies alexandria reported issues oral rehydration salts cited foreign reserve
21,distribution_center_issue,"IN CANAL CITIES, ANTIDEPRESSANTS AVAILABILITY HAS DROPPED. REPORTS MENTION UNLOADING AND COMPLICATIONS FROM QUEUE.",1,0.0,5,canal cities antidepressants availability dropped reports mention unloading complications queue
22,neutral_report,Supply levels for blood pressure dr ...ugs in Upper Egypt remained normal.,1,-0.296,6,supply levels blood pressure dr ugs upper egypt remained normal
23,contract_dispute,A weekly report from new urban communities connected asthma inhalers instability to penalty and terms. Additional concerns include contract.,1,-0.4588,7,weekly report new urban communities connected asthma inhalers instability penalty terms additional concerns include contract
24,regulation_issue,PHARMACIES IN CAIRO REPORTED ISSUES WITH CHILDREN'S SYRUP. THEY CITED WARNING AND NEW RULES. ADDITIONAL CONCERNS INCLUDE BANNED. ,0,-0.6597,3,pharmacies cairo reported issues children syrup cited warning new rules additional concerns include banned
25,manufacturing_issue,"In Cairo, childr3n's syrup availability has dropp3d. R3ports m3ntion int3rruption and complications from d3f3ct. Additional conc3rns includ3 d3f3ct.",1,0.0,5,cairo childr n syrup availability dropp r ports ntion int rruption complications f ct additional conc rns includ f ct
26,regulation_issue," In Upper Egypt, anticoagulants availability has dropped. Reports mention restriction and complications from compliance. Additional concerns include new rules. ",1,-0.2732,6,upper egypt anticoagulants availability dropped reports mention restriction complications compliance additional concerns include new rules
27,demand_spike, Pharmacies in Alexandria reported issues with IV fluids. They cited surge and unusual. Additional concerns include demand.,1,-0.128,6,pharmacies alexandria reported issues iv fluids cited surge unusual additional concerns include demand
28,neutral_report,Routine updates from Canal cities showed no major issues for antibiotics.,0,0.0,1,routine updates canal cities showed major issues antibiotics
29,neutral_report,Pharmacies in Upper Egypt reported stable availability of insulin this week.,1,0.296,4,pharmacies upper egypt reported stable availability insulin week
30,contract_dispute,"In D3lta r3gion, asthma inhal3rs availability has dropp3d. R3ports m3ntion ... pricing and complications from disput3. Additional conc3rns includ3 d3lay.",1,0.0,5,lta r gion asthma inhal rs availability dropp r ports ntion pricing complications disput additional conc rns includ lay
31,labor_shortage,A w33kly r3port from Cairo conn3ct3d antiviral tabl3ts instability to turnov3r and strik3.,1,0.0,5,w kly r port cairo conn ct antiviral tabl ts instability turnov r strik
32,neutral_report,Pharmacies  in  coastal  governorates  reported  stable  availability  of  asthma  inhalers  this  week.,1,0.296,4,pharmacies coastal governorates reported stable availability asthma inhalers week
33,transport_issue,"In Canal cities, antihistamines availability has dropp ...ed. Reports mention bridge and complications from road.",1,0.0,5,canal cities antihistamines availability dropp ed reports mention bridge complications road
34,contract_dispute," IN UPPER EGYPT, PAINKILLERS AVAILABILITY HAS DROPPED. REPORTS MENTION NEGOTIATION AND COMPLICATIONS FROM DISPUTE.",1,-0.4019,7,upper egypt painkillers availability dropped reports mention negotiation complications dispute
35,manufacturing_issue,"IN GIZA, ANTIHISTAMINES AVAILABILITY HAS DROPPED. REPORTS MENTION RAW MATERIAL AND COMPLICATIONS FROM DEFECT. ADDITIONAL CONCERNS INCLUDE MAINTENANCE.",1,-0.34,7,giza antihistamines availability dropped reports mention raw material complications defect additional concerns include maintenance
36,regulation_issue,"In n3w urban communiti3s, vitamins availability has dropp3d. R3ports m3ntion saf3ty and complications from bann3d. Additional conc3rns includ3 saf3ty. ",1,0.6369,2,n w urban communiti vitamins availability dropp r ports ntion saf ty complications bann additional conc rns includ saf ty
37,currency_issue,PHARMACIES IN ALEXANDRIA REPORTED ISSUES WITH ASTHMA INHALERS. THEY  ...CITED PAYMENT AND HARD CURRENCY. ADDITIONAL CONCERNS INCLUDE DOLLAR.,0,-0.1027,1,pharmacies alexandria reported issues asthma inhalers cited payment hard currency additional concerns include dollar
38,supplier_problem,Pharmacies in Upper Egypt reported issues with vitamins. They cited under-performing and disruption.,1,-0.3612,7,pharmacies upper egypt reported issues vitamins cited performing disruption
39,neutral_report,No significant disruptions were noted for vitamins in new urban communities.,0,-0.1531,1,significant disruptions noted vitamins new urban communities
40,supplier_problem,A weekly report from co@st@l governor@tes connected @sthm@ inh@lers inst@bility to supplier @nd l@te.,0,0.0,1,weekly report co st l governor tes connected sthm inh lers inst bility supplier nd l te
41,neutral_report,Pharmacies in new urban communities reported stable availability of cancer medicines this week.,1,-0.4939,7,pharmacies new urban communities reported stable availability cancer medicines week
42,demand_spike,A weekly report from new urb@n communities connected @ntico@gul@nts ins ...t@bility to short@ge @nd p@nic buying. Addition@l concerns include high.,0,0.0,1,weekly report new urb n communities connected ntico gul nts ins bility short ge nd p nic buying addition l concerns include high
43,storage_issue,A weekly report from Canal cities connected antibiotics instab ...ility to storage and leak. Additional concerns include storage.,0,-0.34,2,weekly report canal cities connected antibiotics instab ility storage leak additional concerns include storage
44,quality_control_issue,PHARMACIES  IN  COASTAL  GOVERNORATES  REPORTED  ISSUES  WITH  VITAMINS.  THEY  CITED  CONTAMINATION  AND  TEST.,0,0.0,1,pharmacies coastal governorates reported issues vitamins cited contamination test
45,neutral_report,SUPPLY L3V3LS FOR INSULIN IN CAIRO R3MAIN3D NORMAL.,1,0.0,5,supply l v ls insulin cairo r main normal
46,currency_issue, A weekly report from new urban communities connected anticoagulants instability to price and currency. Additional concerns include price.,1,0.0,5,weekly report new urban communities connected anticoagulants instability price currency additional concerns include price
47,manufacturing_issue,Pharmaci3s in Al3xandria r3port3d issu3s with insulin. Th3y cit3d shutdown and factory. Additional conc3rns includ3 maint3nanc3.??,0,0.0,1,pharmaci al xandria r port issu insulin th cit shutdown factory additional conc rns includ maint nanc
48,manufacturing_issue,"in c@iro, or@l rehydr@tion s@lts @v@il@bility h@s dropped. reports mention r@w m@teri@l @nd complic@tions from defect. addition@l concerns include production.",0,0.0516,1,c iro l rehydr tion lts v il bility h dropped reports mention r w teri l nd complic tions defect addition l concerns include production
49,supplier_problem, A WEEKLY REPORT FROM CAIRO CONNECTED BLOOD PRESSURE DRUGS INSTABILITY TO DISRUPTION AND SUPPLIER. ADDITIONAL CONCERNS INCLUDE SUPPLIER.,2,-0.5719,10,weekly report cairo connected blood pressure drugs instability disruption supplier additional concerns include supplier
50,neutral_report, pharmacies in giza reported stable availability of painkillers this week.,1,0.296,4,pharmacies giza reported stable availability painkillers week
51,neutral_report,supply levels for painkillers in upper egypt remained normal.,1,0.0,5,supply levels painkillers upper egypt remained normal
52,currency_issue,Pharmacies in Canal cities reported issues with vitamins. They cited price and reserve.,0,0.0,1,pharmacies canal cities reported issues vitamins cited price reserve
53,neutral_report,No significant disruptions were noted for anticoagulants in Giza.,0,-0.1531,1,significant disruptions noted anticoagulants giza
54,forecasting_error,"IN GIZA, BLOOD PRESSURE DRUGS AVAILABILITY HAS DROPPED. REPORTS MENTION PLANNING AND COMPLICATIONS FROM PROJECTION. ADDITIONAL CONCERNS INCLUDE PROJECTION.",1,-0.296,6,giza blood pressure drugs availability dropped reports mention planning complications projection additional concerns include projection
55,seasonal_variation,"In Cairo, antibiotics availability has dropped. Reports mention winter and complications from virus. Additional concerns include trend.",1,0.0,5,cairo antibiotics availability dropped reports mention winter complications virus additional concerns include trend
56,neutral_report, Pharmacies in Alexandria reported stable availability of children's syrup this week.,1,0.296,4,pharmacies alexandria reported stable availability children syrup week
57,transport_issue,Pharmacies in Alexandria reported issues with antidepressants. They cited accident and detour. ,0,-0.4767,2,pharmacies alexandria reported issues antidepressants cited accident detour
58,neutral_report,Supply levels for children's syrup in Upper Egypt remained normal.,1,0.0,5,supply levels children syrup upper egypt remained normal
59,currency_issue,A WEEKLY REPORT FROM ALEXANDRIA CONNECTED ANTIBIOTICS INSTABILITY TO CURRENCY AND DEVALUATION. ADDITIONAL CONCERNS INCLUDE PAYMENT.,1,0.0,5,weekly report alexandria connected antibiotics instability currency devaluation additional concerns include payment
60,distribution_center_issue,Pharmacies in Canal cities reported issues with vitamins. They cited capacity and distribution center.,0,0.0,1,pharmacies canal cities reported issues vitamins cited capacity distribution center
61,forecasting_error,"In Cairo, blood pressure drugs availability has dropped. Reports mention planning and complications from forecast. Additional concerns include trend.",1,-0.296,6,cairo blood pressure drugs availability dropped reports mention planning complications forecast additional concerns include trend
62,transport_issue,PHARMACIES IN NEW URBAN COMMUNITIES REPORTED ISSUES WITH IV FLUIDS. THEY CITED ACCIDENT AND BLOCKED. ADDITIONAL CONCERNS INCLUDE ROUTE.??,0,-0.6369,3,pharmacies new urban communities reported issues iv fluids cited accident blocked additional concerns include route
63,it_system_failure,Pharmacies in Delta region reported issues with vitamins. They cited crash and software. Additional concerns include software.,0,-0.4019,2,pharmacies delta region reported issues vitamins cited crash software additional concerns include software
64,storage_issue,pharmacies in canal cities reported issues with antidepressants. they cited storage and mold.,0,0.0,1,pharmacies canal cities reported issues antidepressants cited storage mold
65,regulation_issue,A weekly report from new urban communities connected painkillers instability to safety and warning.,1,0.1027,4,weekly report new urban communities connected painkillers instability safety warning
66,supplier_problem,A weekly report from new urban communities connected antidepressants instability to supplier and disruption. Additional concerns include late.,2,-0.3612,10,weekly report new urban communities connected antidepressants instability supplier disruption additional concerns include late
67,neutral_report,Supply levels for vitamins in Giza remained normal.,1,0.0,5,supply levels vitamins giza remained normal
68,neutral_report,Supply levels for anticoagulants ... in Delta region remained normal.,1,0.0,5,supply levels anticoagulants delta region remained normal
69,import_delay,"In coastal governorates, antiviral tablets availability has dropped. Reports mention delay and complications from stuck. Additional concerns include queue.",2,-0.5106,10,coastal governorates antiviral tablets availability dropped reports mention delay complications stuck additional concerns include queue
70,quality_control_issue,PHARMACIES IN NEW URBAN COMMUNITIES REPORTED ISSUES WITH VITAMINS. THEY CITED OUT OF SPEC AND CONTAMINATION. ADDITIONAL CONCERNS INCLUDE FAILED.,0,-0.5106,3,pharmacies new urban communities reported issues vitamins cited spec contamination additional concerns include failed
71,regulation_issue,"In  Upper  Egypt,  oral  rehydration  salts  availability  has  dropped.  Reports  mention  new  rules  and  complications  from  penalty.  Additional  concerns  include  inspection.",1,-0.4588,7,upper egypt oral rehydration salts availability dropped reports mention new rules complications penalty additional concerns include inspection
72,currency_issue,"In Delta region, antiviral tablets availability has dropped. ... Reports mention devaluation and complications from exchange.",1,0.0,5,delta region antiviral tablets availability dropped reports mention devaluation complications exchange
73,quality_control_issue,pharmacies in coastal governorates reported issues with blood pressure drugs. they cited defect and out of spec.,0,-0.5574,3,pharmacies coastal governorates reported issues blood pressure drugs cited defect spec
74,supplier_problem,A weekly report from Alexandria connected blood pressure drugs instability to disruption and late. Additional concerns include under-performing.,2,-0.5719,10,weekly report alexandria connected blood pressure drugs instability disruption late additional concerns include performing
75,quality_control_issue," In new urban communities, insulin availability has dropped. Reports mention investigation and complications from defect.",1,-0.34,7,new urban communities insulin availability dropped reports mention investigation complications defect
76,neutral_report,Reports from new urban communities indicated stable distribution of oral rehydration salts.,0,0.296,1,reports new urban communities indicated stable distribution oral rehydration salts
77,neutral_report,REPORTS FROM ALEXANDRIA INDICATED STA ...BLE DISTRIBUTION OF ANTIVIRAL TABLETS.,0,0.0,1,reports alexandria indicated sta ble distribution antiviral tablets
78,manufacturing_issue,"In coastal governorates, vitamins availability has dropped. Reports mention repair and complications from interruption. Additional concerns include raw material.",1,-0.3612,7,coastal governorates vitamins availability dropped reports mention repair complications interruption additional concerns include raw material
79,import_delay,A WEEKLY REPORT FROM DELTA REGION CONNECTED INSULIN INSTABILITY TO DELAY AND CUSTOMS. ,2,-0.3182,10,weekly report delta region connected insulin instability delay customs
80,currency_issue,Pharmacies in Delta region reported issues with insulin. They cited bank and currency.,0,0.0,1,pharmacies delta region reported issues insulin cited bank currency
81,storage_issue,"In Giza, asthma inhalers availability has dropped. Reports mention power cut and complications from expired.",1,-0.2732,6,giza asthma inhalers availability dropped reports mention power cut complications expired
82,forecasting_error,A weekly report from coastal governorates connected anticoagulants instability to overestimated and estimate. Additional concerns include overestimated.,1,0.0,5,weekly report coastal governorates connected anticoagulants instability overestimated estimate additional concerns include overestimated
83,import_delay,Pharmacies in Cairo reported issues with anticoagulants. They cited stuck and container.,0,-0.25,1,pharmacies cairo reported issues anticoagulants cited stuck container
84,currency_issue,a weekly report from giza connected antibiotics instability to price and hard currency.,1,-0.1027,6,weekly report giza connected antibiotics instability price hard currency
85,neutral_report,Routine updates from Giza showed no major issues for blood pressure drugs.,0,-0.296,1,routine updates giza showed major issues blood pressure drugs
86,import_delay,"In Upper Egypt, @ntihist@mines @v@il@bility h@s dropped. Reports mention customs @nd complic@tions from hold. Addition@l concerns include stuck. ",0,-0.25,1,upper egypt ntihist mines v il bility h dropped reports mention customs nd complic tions hold addition l concerns include stuck
87,forecasting_error,"In Cairo, antihistamines availability has dropped. Reports mention model and complications from unexpected. Additional concerns include planning.",1,0.0,5,cairo antihistamines availability dropped reports mention model complications unexpected additional concerns include planning
88,neutral_report,Pharmaci3s in Canal citi3s r3port3d stabl3 availability of antibiotics this w33k.,1,0.0,5,pharmaci canal citi r port stabl availability antibiotics w k
89,manufacturing_issue,A WEEKLY REPORT FROM CAIRO CONNECTED CHILDREN'S SYRUP INSTABILI ...TY TO BREAKDOWN AND FACTORY. ADDITIONAL CONCERNS INCLUDE BATCH.,0,0.3818,1,weekly report cairo connected children syrup instabili ty breakdown factory additional concerns include batch
90,it_system_failure,"In Canal cities, children's syrup availability has dropped. Reports mention server and complications from data. Additional concerns include error.",1,-0.4019,7,canal cities children syrup availability dropped reports mention server complications data additional concerns include error
91,manufacturing_issue,"In  Giza,  antidepressants  availability  has  dropped.  Reports  mention  capacity ...  and  complications  from  breakdown.  Additional  concerns  include  interruption.",1,-0.3612,7,giza antidepressants availability dropped reports mention capacity complications breakdown additional concerns include interruption
92,quality_control_issue,A  WEEKLY  REPORT  FROM  DELTA  REGION  CONNECTED  ANTIDEPRESSANTS  INSTABILITY  TO  LAB  AND  INVESTIGATION.  ADDITIONAL  CONCERNS  INCLUDE  CONTAMINATION.,1,0.0,5,weekly report delta region connected antidepressants instability lab investigation additional concerns include contamination
93,forecasting_error,"In Delta region, antidepressants availability has dropped. Reports mention estimate and complications from underestimated. Additional concerns include miscalculated.",1,-0.2732,6,delta region antidepressants availability dropped reports mention estimate complications underestimated additional concerns include miscalculated
94,it_system_failure,Ph@rm@cies in C@n@l cities reported issues with @ntico@gul@nts. They cited system @nd upd@te. Addition@l concerns include network.,0,0.0,1,ph rm cies c n l cities reported issues ntico gul nts cited system nd upd te addition l concerns include network
95,currency_issue,"IN NEW URBAN COMMUNITIES, CANCER MEDICINES AVAILABILITY HAS DROPPED. REPORTS MENTION CURRENCY AND COMPLICATIONS FROM DOLLAR. ADDITIONAL CONCERNS INCLUDE CURRENCY.",1,-0.6597,8,new urban communities cancer medicines availability dropped reports mention currency complications dollar additional concerns include currency
96,neutral_report,Pharmacies in new urban communities reported stable availability of antidepressants this week.,1,0.296,4,pharmacies new urban communities reported stable availability antidepressants week
97,neutral_report, No significant disruptions were noted for antibiotics in coastal governorates.,0,-0.1531,1,significant disruptions noted antibiotics coastal governorates
98,seasonal_variation, A  weekly  report  from  Canal  cities  connected  vitamins  instability  to  summer  and  trend.,1,0.0,5,weekly report canal cities connected vitamins instability summer trend
99,quality_control_issue,"In  new  urban  communities,  antibiotics  availability  has  dropped.  Reports  mention  lab  and  complications  from  nonconformity.  Additional  concerns  include  contamination.",1,0.0,5,new urban communities antibiotics availability dropped reports mention lab complications nonconformity additional concerns include contamination
100,demand_spike,Ph@rm@ci3s in Upp3r Egypt r3port3d issu3s with @sthm@ inh@l3rs. Th3y cit3d p@nic buying @nd spik3. Addition@l conc3rns includ3 unusu@l.,0,0.0,1,ph rm ci upp r egypt r port issu sthm inh l rs th cit p nic buying nd spik addition l conc rns includ unusu l
101,supplier_problem,Ph@rm@cies in Delt@ region reported issues with or@l rehydr@tion s@lts. They cited c@ncelled @nd c@p@city. Addition@l concerns include c@p@city.,0,0.3818,1,ph rm cies delt region reported issues l rehydr tion lts cited c ncelled nd c p city addition l concerns include c p city
102,contract_dispute,Pharmacies in Upper Egypt reported issues with antidepressants. They cited renewal and negotiation. Additional concerns include renewal.,0,0.0,1,pharmacies upper egypt reported issues antidepressants cited renewal negotiation additional concerns include renewal
103,neutral_report,Supply levels for antibiotics in Delta region remained normal. ,1,0.0,5,supply levels antibiotics delta region remained normal
104,currency_issue,"In Giza, antibiotics availability has dropped. Reports mention payment and complications from hard currency.",1,-0.1027,6,giza antibiotics availability dropped reports mention payment complications hard currency
105,import_delay,a  weekly  report  from  coastal  governorates  connected  oral  rehydration  salts  instability  to  import  and  queue.  additional  concerns  include  container.,2,0.0,10,weekly report coastal governorates connected oral rehydration salts instability import queue additional concerns include container
106,supplier_problem,A weekly report from Canal cities connected antihistamines instability to disruption and missed.,2,-0.5719,10,weekly report canal cities connected antihistamines instability disruption missed
107,neutral_report,No significant disruptions were noted for asthma inhalers in Delta region.,0,-0.1531,1,significant disruptions noted asthma inhalers delta region
108,neutral_report,Pharmacies in coastal governorates reported st ...able availability of antihistamines this week.,1,0.0,5,pharmacies coastal governorates reported st able availability antihistamines week
109,contract_dispute,Pharmacies in Alexandria reported issues with antibiotics. They cited pricing and terms. Additional concerns include clause.??,0,0.0,1,pharmacies alexandria reported issues antibiotics cited pricing terms additional concerns include clause
110,quality_control_issue,pharmacies in upper egypt reported issues with antidepressants. they cited quality and investigation. additional concerns include failed.??,0,-0.5106,3,pharmacies upper egypt reported issues antidepressants cited quality investigation additional concerns include failed
111,demand_spike,"In Canal cities, asthma inhalers availability has dropped. Reports mention sudden and complications from spike.",1,0.0,5,canal cities asthma inhalers availability dropped reports mention sudden complications spike
112,it_system_failure,"In Alexandria, IV fluids availability has dropped. Reports mention login and complications from update. Additional concerns include login.",1,0.0,5,alexandria iv fluids availability dropped reports mention login complications update additional concerns include login
113,seasonal_variation,"In Upper Egypt, or@l rehydr@tion s@lts @v@il@bility h@s dropped. Reports mention summer @nd complic@tions from holid@y. ",0,0.3818,1,upper egypt l rehydr tion lts v il bility h dropped reports mention summer nd complic tions holid
114,import_delay,Pharmacies in Alexandria reported issues with insulin. They cited stuck and inspection.,0,-0.25,1,pharmacies alexandria reported issues insulin cited stuck inspection
115,forecasting_error,"In Canal citi3s, oral r3hydration salts availability has dropp3d. R3ports m3ntion for3cast and complications from miscalculat3d. Additional conc3rns includ3 assumption.??",1,0.0,5,canal citi oral r hydration salts availability dropp r ports ntion cast complications miscalculat additional conc rns includ assumption
116,contract_dispute,Pharmacies in Giza reported issues with antihistamines. They cited disagreement and pricing. Additional concerns include pricing.,0,-0.3612,2,pharmacies giza reported issues antihistamines cited disagreement pricing additional concerns include pricing
117,neutral_report,Ph@rm@cies in C@n@l cities reported st@ble @v@il@bility of @ntico@gul@nts this week.,0,0.0,1,ph rm cies c n l cities reported st ble v il bility ntico gul nts week
118,quality_control_issue,A w33kly r3port from Canal citi3s conn3ct3d chil ...dr3n's syrup instability to out of sp3c and t3st.,1,0.0,5,w kly r port canal citi conn ct chil dr n syrup instability sp c st
119,neutral_report,Routine updates from Cairo showed no major issues for antidepressants.,0,0.0,1,routine updates cairo showed major issues antidepressants
120,storage_issue,Ph@rm@cies in new urb@n communities reported issues with insulin. They cited le@k @nd stor@ge. Addition@l concerns include spoil@ge.,0,0.0,1,ph rm cies new urb n communities reported issues insulin cited le k nd stor ge addition l concerns include spoil ge
121,demand_spike,Pharmacies in Alexandria reported issues with antihistamines. They cited increase and peak. Additional concerns include unusual.,0,0.3182,1,pharmacies alexandria reported issues antihistamines cited increase peak additional concerns include unusual
122,labor_shortage,Pharmaci3s in Giza r3port3d issu3s with antibiotics. Th3y cit3d training and shift.,0,0.0,1,pharmaci giza r port issu antibiotics th cit training shift
123,contract_dispute,Pharmacies in Canal cities reported issues with vitamins. They cited clause and delay. Additional concerns include cancellation. ??,1,-0.3182,7,pharmacies canal cities reported issues vitamins cited clause delay additional concerns include cancellation
124,currency_issue,Pharmacies in Giza reported issues with children's syrup. They cited inflation and foreign. Additional concerns include devaluation.,0,0.0,1,pharmacies giza reported issues children syrup cited inflation foreign additional concerns include devaluation
125,neutral_report, Supply levels for antiviral tablets in new urban communities remained normal.,1,0.0,5,supply levels antiviral tablets new urban communities remained normal
126,neutral_report, Supply levels for vitamins in new urban communities remained normal.,1,0.0,5,supply levels vitamins new urban communities remained normal
127,storage_issue,A  WEEKLY  REPORT  FROM  CAIRO  CONNECTED  ASTHMA  INHALERS  INSTABILITY  TO  STORAGE  AND  CONTAMINATION.  ADDITIONAL  CONCERNS  INCLUDE  EXPIRED.,1,0.0,5,weekly report cairo connected asthma inhalers instability storage contamination additional concerns include expired
128,forecasting_error,"In Cairo, blood pressure drugs availability has dropped. Reports mention miscalculated and complications from forecast. Additional concerns include projection.",1,-0.296,6,cairo blood pressure drugs availability dropped reports mention miscalculated complications forecast additional concerns include projection
129,labor_shortage,"In  D3lta  r3gion,  painkill3rs  availability  has  dropp3d.  R3ports  m3ntion  r3signations  and  complications  from  sick  l3av3.",1,-0.5106,8,lta r gion painkill rs availability dropp r ports ntion r signations complications sick l av
130,neutral_report,Supply l3v3ls for anticoagulants ... in D3lta r3gion r3main3d normal.,1,0.0,5,supply l v ls anticoagulants lta r gion r main normal
131,it_system_failure, PHARMACIES IN COASTAL GOVERNORATES REPORTED ISSUES WITH ANTICOAGULANTS. THEY CITED OFFLINE AND BUG.,0,-0.128,1,pharmacies coastal governorates reported issues anticoagulants cited offline bug
132,quality_control_issue,A  weekly  report  from  Alexandria  connected  antidepressants  instability  to  investigation  and  failed.??,1,-0.5106,8,weekly report alexandria connected antidepressants instability investigation failed
133,import_delay,"In coastal governorates, antidepressants availability has dropped. Reports mention inspection and complications from clearance.",1,0.0,5,coastal governorates antidepressants availability dropped reports mention inspection complications clearance
134,it_system_failure,A WEEKLY REPORT FROM COASTAL GOVERNORATES CONNECTED ANTIHISTAMINES INSTABILITY TO CRASH AND SYSTEM.,1,-0.4019,7,weekly report coastal governorates connected antihistamines instability crash system
